"Aasta","Asustuspiirkonna liik","Mehe elukoht","Kuud kokku","Jaanuar","Veebruar","Märts","Aprill","Mai","Juuni","Juuli","August","September","Oktoober","November","Detsember"
"2020","Maaline asustuspiirkond","Pärnu maakond",50,3,4,5,3,1,9,5,0,4,7,6,3
"2020","Maaline asustuspiirkond","Rapla maakond",57,6,6,1,3,3,5,4,10,4,4,9,2
"2020","Maaline asustuspiirkond","Saare maakond",39,3,2,2,3,3,2,5,5,5,1,5,3
"2020","Maaline asustuspiirkond","Tartu maakond",80,8,8,9,1,4,8,12,3,6,5,6,10
"2020","Maaline asustuspiirkond","Valga maakond",20,1,4,1,2,1,2,3,0,3,3,0,0
"2020","Maaline asustuspiirkond","Viljandi maakond",46,4,1,1,4,2,4,6,4,7,3,6,4
"2020","Maaline asustuspiirkond","Võru maakond",34,1,4,0,1,4,3,5,4,1,4,2,5
"2021","Kokku","Kokku",2554,113,133,141,154,174,246,404,376,221,187,175,195
"2021","Kokku","Elukoht väljaspool Eestit",90,8,6,1,3,9,8,8,12,7,5,4,7
"2021","Kokku","Elukoht Eestis",2464,105,127,140,151,165,238,396,364,214,182,171,188
"2021","Kokku","Harju maakond",1241,43,72,76,86,68,119,205,177,111,86,93,92
"2021","Kokku","..Tallinn",924,38,55,52,61,49,82,147,138,90,67,68,67
"2021","Kokku","Hiiu maakond",11,1,0,0,1,1,1,1,0,1,0,2,2
"2021","Kokku","Ida-Viru maakond",303,16,16,22,26,14,25,40,47,30,24,19,21
"2021","Kokku","Jõgeva maakond",45,1,2,1,1,6,1,8,10,2,3,2,4
"2021","Kokku","Järva maakond",51,3,1,1,0,5,7,10,6,3,4,6,5
"2021","Kokku","Lääne maakond",40,2,2,3,2,2,6,5,5,4,6,0,3
"2021","Kokku","Lääne-Viru maakond",96,7,2,7,5,3,11,17,13,12,10,2,7
"2021","Kokku","Põlva maakond",36,1,4,2,2,3,2,6,5,1,1,4,5
"2021","Kokku","Pärnu maakond",140,4,5,4,9,12,15,21,31,12,9,4,13
"2021","Kokku","Rapla maakond",51,3,2,3,0,8,3,9,6,6,3,6,2
"2021","Kokku","Saare maakond",49,3,1,5,0,3,5,12,7,4,5,1,3
"2021","Kokku","Tartu maakond",238,16,7,13,7,19,25,38,36,17,19,20,20
"2021","Kokku","Valga maakond",41,2,3,0,2,6,5,4,5,3,3,2,6
"2021","Kokku","Viljandi maakond",70,2,6,2,5,11,10,8,10,4,4,4,4
"2021","Kokku","Võru maakond",52,1,4,1,5,4,3,12,6,4,5,6,1
"2021","Linnaline ja väikelinnaline asustuspiirkond","Kokku",1762,75,89,100,118,109,172,285,259,170,119,133,133
"2021","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",1084,40,62,62,81,61,102,178,160,105,71,82,80
"2021","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",914,38,55,52,61,49,82,147,138,90,67,68,67
"2021","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",246,13,13,22,21,12,20,33,35,24,19,17,17
